name,size,solver,solve time,error,run date
x2015_09_10_17_00_02_137_1325235.smt_in,1,xmt,73.0329,,2026-05-22T17:25:30.903367
x2015_09_10_17_00_11_688_1335250.smt_in,1,z3,72.5208,,2026-05-22T17:26:43.427136
x2015_09_10_17_00_11_688_1335250.smt_in,1,xmt,71.3619,,2026-05-22T17:27:54.789562
x2015_09_10_17_00_21_400_1343872.smt_in,1,z3,64.3295,,2026-05-22T17:28:59.120253
x2015_09_10_17_00_21_400_1343872.smt_in,1,xmt,74.0329,,2026-05-22T17:30:13.153601
x2015_09_10_17_00_27_549_1675482.smt_in,1,z3,58.7737,,2026-05-22T17:31:11.938132
x2015_09_10_17_00_27_549_1675482.smt_in,1,xmt,300.5514,Time out,2026-05-22T17:36:12.489991
x2015_09_10_17_00_58_384_1387951.smt_in,1,z3,42.3778,"stderr : (error ""out of memory"")",2026-05-22T17:36:54.869187
x2015_09_10_17_00_58_384_1387951.smt_in,1,xmt,36.5070,,2026-05-22T17:37:31.377697
x2015_09_10_17_01_18_154_1736726.smt_in,1,z3,0.0299,,2026-05-22T17:37:31.408702
x2015_09_10_17_01_18_154_1736726.smt_in,1,xmt,0.0470,,2026-05-22T17:37:31.456204
x2015_09_10_17_15_45_263_2747225.smt_in,1,z3,87.5071,"stderr : (error ""out of memory"")",2026-05-22T17:38:58.964098
x2015_09_10_17_15_45_263_2747225.smt_in,1,xmt,146.6128,,2026-05-22T17:41:25.577347
x2015_09_10_17_18_52_428_2853527.smt_in,1,z3,300.1748,Time out,2026-05-22T17:46:25.762990
x2015_09_10_17_18_52_428_2853527.smt_in,1,xmt,300.1915,Time out,2026-05-22T17:51:25.954983
x2015_09_10_17_24_09_404_1186086.smt_in,1,z3,43.8580,"stderr : (error ""out of memory"")",2026-05-22T17:52:09.814411
x2015_09_10_17_24_09_404_1186086.smt_in,1,xmt,41.4034,,2026-05-22T17:52:51.218431
x2015_09_10_17_24_15_676_1190872.smt_in,1,z3,0.0400,,2026-05-22T17:52:51.259757
x2015_09_10_17_24_15_676_1190872.smt_in,1,xmt,0.0617,,2026-05-22T17:52:51.321918
x2015_09_10_17_24_33_264_1206894.smt_in,1,z3,161.2394,,2026-05-22T17:55:32.562518
x2015_09_10_17_24_33_264_1206894.smt_in,1,xmt,158.3334,,2026-05-22T17:58:10.896483
x2015_09_10_17_24_34_887_1208020.smt_in,1,z3,163.6182,,2026-05-22T18:00:54.526417
x2015_09_10_17_24_34_887_1208020.smt_in,1,xmt,160.2223,,2026-05-22T18:03:34.749150
x2015_09_10_17_24_38_065_1210148.smt_in,1,z3,162.1683,,2026-05-22T18:06:16.929024
x2015_09_10_17_24_38_065_1210148.smt_in,1,xmt,160.1239,,2026-05-22T18:08:57.053562
