name,size,solver,solve time,error,run date
datatype_define,363,xmt,0.0643,,2026-05-20T14:19:17.364259
datatype_define,435,xmt,0.0537,,2026-05-20T14:19:17.945445
datatype_define,522,xmt,0.0742,,2026-05-20T14:19:18.566227
datatype_define,626,xmt,0.0746,,2026-05-20T14:19:19.179171
datatype_define,751,xmt,0.1059,,2026-05-20T14:19:19.814197
datatype_define,901,xmt,0.1405,,2026-05-20T14:19:20.449145
int_assert,50,xmt,0.0303,,2026-05-20T14:19:21.004309
int_assert,60,xmt,0.0268,,2026-05-20T14:19:21.562032
int_assert,72,xmt,0.0283,,2026-05-20T14:19:22.143790
int_assert,86,xmt,0.0291,,2026-05-20T14:19:22.705122
int_assert,103,xmt,0.0317,,2026-05-20T14:19:23.250424
int_assert,123,xmt,0.0393,,2026-05-20T14:19:23.824885
int_assert,147,xmt,0.0315,,2026-05-20T14:19:24.411000
int_assert,176,xmt,0.0305,,2026-05-20T14:19:24.982481
int_assert,211,xmt,0.0364,,2026-05-20T14:19:25.550710
int_assert,253,xmt,0.0386,,2026-05-20T14:19:26.120047
int_assert,303,xmt,0.0453,,2026-05-20T14:19:26.726441
int_assert,363,xmt,0.0605,,2026-05-20T14:19:27.347102
int_assert,435,xmt,0.0493,,2026-05-20T14:19:27.936915
int_assert,522,xmt,0.0654,,2026-05-20T14:19:28.546777
int_assert,626,xmt,0.0858,,2026-05-20T14:19:29.163749
int_assert,751,xmt,0.1223,,2026-05-20T14:19:29.827620
int_assert,901,xmt,0.1487,,2026-05-20T14:19:30.500006
datatype_assert,50,xmt,0.0285,,2026-05-20T14:19:31.038658
datatype_assert,60,xmt,0.0317,,2026-05-20T14:19:31.598707
datatype_assert,72,xmt,0.0347,,2026-05-20T14:19:32.197720
datatype_assert,86,xmt,0.0319,,2026-05-20T14:19:32.748823
datatype_assert,103,xmt,0.0430,,2026-05-20T14:19:33.312664
datatype_assert,123,xmt,0.0303,,2026-05-20T14:19:33.900545
datatype_assert,147,xmt,0.0292,,2026-05-20T14:19:34.444106
datatype_assert,176,xmt,0.0325,,2026-05-20T14:19:35.016732
datatype_assert,211,xmt,0.0338,,2026-05-20T14:19:35.579576
datatype_assert,253,xmt,0.0387,,2026-05-20T14:19:36.133041
datatype_assert,303,xmt,0.0407,,2026-05-20T14:19:36.688595
datatype_assert,363,xmt,0.0481,,2026-05-20T14:19:37.277134
datatype_assert,435,xmt,0.0591,,2026-05-20T14:19:37.868125
datatype_assert,522,xmt,0.0740,,2026-05-20T14:19:38.469761
datatype_assert,626,xmt,0.0839,,2026-05-20T14:19:39.079700
datatype_assert,751,xmt,0.1449,,2026-05-20T14:19:39.757126
datatype_assert,901,xmt,0.1599,,2026-05-20T14:19:40.452635
grounded,50,xmt,0.0269,,2026-05-20T14:19:41.003632
grounded,60,xmt,0.0269,,2026-05-20T14:19:41.536357
grounded,72,xmt,0.0379,,2026-05-20T14:19:42.112540
grounded,86,xmt,0.0318,,2026-05-20T14:19:42.673692
grounded,103,xmt,0.0366,,2026-05-20T14:19:43.257437
grounded,123,xmt,0.0461,,2026-05-20T14:19:43.842370
grounded,147,xmt,0.0354,,2026-05-20T14:19:44.406207
